;raw features;first cleaning;full cleaning;+ other features;+ stemming;+ bigrams;+ creating features on the full base;+ trigrams
LR l1;0.87904;0.8776;0.87344;0.87744;0.8696;0.86704;0.86736;0.87024
LR l2;0.88864;0.8872;0.89024;0.89168;0.88512;0.88448;0.88448;0.88912
RF;0.80304;0.808;0.82608;0.82704;0.82416;0.82624;0.83008;0.82192
NB mult;;;;;;;;0.86528
NB bernoulli;;;;;;;;0.88304
SVC l1;0.88432;0.88368;0.8816;0.88464 ;0.87808;0.88208;0.8808;0.88688
SVC l2;0.89648;0.89616;0.89264;0.89184;0.88688;0.8988;0.89728;0.90144
